track_id,user_id,playcount,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRITSGN128F42999B5,ffe7c95408a67ae7527b170268b3cf27df610b39,3,Hot Tent Blues,Late of the Pier,https://p.scdn.co/mp3-preview/9727323c15b170d99dfb5bad91387287269e6a9d?cid=774b29d4f13844c495f206cafdad9c86,0MhwIuXKj9Hb0xBIusRj1P,"electronic, alternative, indie, experimental, instrumental, british, 00s",,2008,77866,0.456,0.631,4,-5.789,0,0.0416,0.0031,0.514,0.357,0.406,114.771,3
TRRFRQX12903CA7290,9577daa40d6aaeda4730566becbe168b28be8cd7,1,Teenage,Veronica Falls,https://p.scdn.co/mp3-preview/5baf36179c3ba430baee2b21d771812f7fc6c6ba?cid=774b29d4f13844c495f206cafdad9c86,1hwNY3kVtjLUBqSSJhRccp,"rock, indie, indie_rock, indie_pop",Rock,2012,171560,0.275,0.82,0,-5.792,1,0.0438,0.298,0.894,0.166,0.557,142.285,4
TRPKZWR128F931240B,38c9d0bb8a9c67d3616a7dcebdce7309f87488b1,1,O Tempo Não Pára,Cazuza,https://p.scdn.co/mp3-preview/d114173b1e2a79519c30d564b4ddb8935bf71554?cid=774b29d4f13844c495f206cafdad9c86,10C3nAydzBvNfaY86NwUuA,"rock, 80s, pop_rock",,1988,279893,0.358,0.766,2,-9.715,1,0.0603,0.0343,0.0,0.983,0.362,76.904,4
TRYYTUP128F4298472,a429b7b2de02ffbe1ebf881cd3f24e75ff29af39,1,Everything I Can't Have,Robin Thicke,https://p.scdn.co/mp3-preview/d1f94a3565836d8d0a169b40f8814bea2e9bf236?cid=774b29d4f13844c495f206cafdad9c86,0NDcxgBFbl2zVbZmkwTWfZ,"soul, funk, rnb",,2006,203880,0.778,0.608,2,-8.952,1,0.0355,0.265,2.72e-05,0.184,0.852,101.913,4
TRLHPYP128F4259AB7,c118e6eb50a48a901bf4b0f8662e157404973973,1,Hitsville U.K.,The Clash,https://p.scdn.co/mp3-preview/458093f031b22914e5b32123194144c4137036d8?cid=774b29d4f13844c495f206cafdad9c86,0e6aQYSW4RjoVf2lSlnuBV,"punk, 80s, punk_rock, new_wave, post_punk, ska",Punk,1991,263200,0.618,0.968,0,-5.709,1,0.0409,0.0375,3.12e-06,0.214,0.666,99.807,4
TREUHLN128F148B499,271f20c56a9e33f946352d3d08277b8e26b089a7,1,E Chiove,Andrea Bocelli,https://p.scdn.co/mp3-preview/e3cbf19122cefe72b047481fd94aade9261508ca?cid=774b29d4f13844c495f206cafdad9c86,0ccl9qZW1q0QXapHQjlxuz,classical,,1995,265733,0.441,0.286,1,-11.517,1,0.0373,0.669,0.00172,0.0884,0.156,143.863,4
TRGRONS128E0786070,697d0f2ed9b065bf795ef1ca8749bc2e298e0d86,1,Bring The Pain,Mindless Self Indulgence,https://p.scdn.co/mp3-preview/25b8411e28037859a1ab109c0ce25531635caebe?cid=774b29d4f13844c495f206cafdad9c86,20wEzRChxH2QcW3zK3G6ON,"electronic, punk, industrial, cover",Rap,2011,219400,0.761,0.914,11,-4.204,0,0.301,0.0154,0.0,0.0996,0.63,153.015,4
TROHCFR128F92DDDA9,263689e30a6d379ecde5df23215268df6d366066,1,Love,The Smashing Pumpkins,https://p.scdn.co/mp3-preview/502a581348b6957d494e246da815d1210c7abdc0?cid=774b29d4f13844c495f206cafdad9c86,1pqy5We6EVGJhrBFkquFwo,"rock, electronic, alternative, alternative_rock, 90s, american, love, grunge",Electronic,1995,262760,0.514,0.659,5,-10.074,0,0.0272,0.000171,0.821,0.11,0.256,95.21,4
TRGCHLH12903CB7352,2456484d873956c1e9c578960cfdd51243b0bf5b,1,Party In The U.S.A.,The Barden Bellas,https://p.scdn.co/mp3-preview/f8c5ff9e6aebca46dad9fdebe5a2f363a40cb326?cid=774b29d4f13844c495f206cafdad9c86,0bz2Uy1KE7bNGsGQU9pZrU,"soundtrack, cover",Pop,2012,63080,0.531,0.36,10,-8.575,0,0.108,0.822,0.0,0.178,0.701,97.2,4
TRJGLLM128F9312963,cac04576d28ba1ccb8c4295f660606f0707d01e0,1,Bellyfulla,Ramona Falls,https://p.scdn.co/mp3-preview/87d1839f124947b87288fcfcf662e213ccf774c0?cid=774b29d4f13844c495f206cafdad9c86,0gBSg9T1w2808z35ccS6fM,avant_garde,,2009,216273,0.685,0.444,11,-9.743,0,0.0315,0.323,0.000296,0.0984,0.294,113.729,4
TRQFICK128F92F5190,ce30be0944addfe301a54ae150378b420c08395f,1,Toxicity,System of a Down,https://p.scdn.co/mp3-preview/89e93c71655e81579d011e4521f7b6e9db173834?cid=774b29d4f13844c495f206cafdad9c86,0snQkGI5qnAmohLE7jTsTn,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",,2001,218933,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,3
TRVEXXG128F9333788,2eb2b812a4c34e0cb7a99c6db9990a4ea3dda6b1,1,From These Wounds,All That Remains,https://p.scdn.co/mp3-preview/c258beecd1062717197623424fc550c103aa7500?cid=774b29d4f13844c495f206cafdad9c86,3CBubq98mfK0ydjPaH7gMI,"death_metal, metalcore, melodic_death_metal",Metal,2007,275800,0.273,0.964,11,-6.349,0,0.0512,6.35e-06,0.389,0.0911,0.505,103.57,4
TRUCHHA128EF3435EA,65e8790ae6da20624e7fc7dc6bf60eb931ff0875,1,Feeling This,blink-182,https://p.scdn.co/mp3-preview/2e5ad4741d169569368f484f58da56ecde77e4e7?cid=774b29d4f13844c495f206cafdad9c86,00ZsT6WcQHTKBc4atXPvXh,"rock, alternative, alternative_rock, punk, punk_rock",Rock,2009,173600,0.407,0.964,4,-5.888,1,0.09,0.0811,0.0,0.569,0.54,173.116,4
TRRQGWG12903D06C3F,fdf52638585ecc9265ee9661273d701a06812974,1,Sea of Love,The National,https://p.scdn.co/mp3-preview/08b1df9d504247f9999fcc915b1bf4c495fcb4a9?cid=774b29d4f13844c495f206cafdad9c86,2lXequgriVMMkZyP5CKvAW,"indie, indie_rock",Rock,2013,216960,0.457,0.876,0,-5.346,1,0.0392,0.0589,0.784,0.143,0.569,146.002,4
TREYOMU128F149F9B1,b35d35c04f779a39b7dd28b587929d1c3e492931,1,She's Good For Business,MSTRKRFT,https://p.scdn.co/mp3-preview/2ac119415b4a2ae64aa7e51182b3d645872a175a?cid=774b29d4f13844c495f206cafdad9c86,0U4vy28nyJwVqRgY0ntLud,"electronic, dance, electro",,2006,304000,0.91,0.936,1,-4.225,0,0.111,0.0476,0.000532,0.282,0.943,129.994,4
TRSIKBR128F4247E8E,cf420e47b14ef3cb2ff53be0e57d59cfd9bf78bd,1,Sad Girl,Lana Del Rey,https://p.scdn.co/mp3-preview/a239dc5d1feb2312ad90ab3a99b59b3a8ae32058?cid=774b29d4f13844c495f206cafdad9c86,0Exol9FBV2EXFuQouQQswj,"alternative, indie, pop, female_vocalists, american",,2014,317760,0.388,0.596,5,-8.347,1,0.0381,0.54,0.0329,0.119,0.253,119.516,4
TRTIHZH128F92C4291,3c108a376c8d8635caf192cb33b7babce321cda3,9,The Precipice,Mogwai,https://p.scdn.co/mp3-preview/8e3040e84e7881f821dee632150458e6840846c8?cid=774b29d4f13844c495f206cafdad9c86,1XEmlhFIyRNhpO4GGVhOcw,"instrumental, post_rock",Rock,2008,401720,0.234,0.468,2,-10.694,1,0.0372,0.0801,0.843,0.131,0.0399,115.028,3
TROOMIS128F427AAE9,04be36635646c94b04da24132d05eaf3fe1ee749,1,Prodigal,Porcupine Tree,https://p.scdn.co/mp3-preview/adc5fecf43c380477e9fccaea0db2affe49f8d81?cid=774b29d4f13844c495f206cafdad9c86,2CjExIhGEyHCSHuqAdx5SJ,progressive_rock,Rock,2002,332666,0.439,0.817,7,-5.071,1,0.0322,0.00311,0.238,0.261,0.387,155.284,4
TRRIAKP128F930CAF8,e5667650c640541f602d3c9d05cb1f77ad90b235,16,All I Ever Wanted,Shinedown,https://p.scdn.co/mp3-preview/418c84f49848ec376bfc8dd84ed8cc36b8a7f0e4?cid=774b29d4f13844c495f206cafdad9c86,0TPotxjBaSlcEuFkH8FjwR,"rock, alternative, metal, alternative_rock, classic_rock, hard_rock, heavy_metal",,2003,250080,0.505,0.865,0,-3.202,1,0.0367,0.000189,0.000456,0.107,0.24,124.038,4
TRSCMBY128F9311188,0293323f65651098b87e2c9a9bc81212fc9bcc2b,15,Mardy Bum,Arctic Monkeys,https://p.scdn.co/mp3-preview/4964cbac745e7e8ef3968b684ba291e8c756c579?cid=774b29d4f13844c495f206cafdad9c86,0gNQKJ5uTPeuxF2iVJAUAc,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Rock,2006,175426,0.634,0.599,2,-5.447,1,0.0365,0.0288,0.0,0.197,0.312,112.215,4
TRBYROG128F149BCDE,16950f9dee5b34399dac166a44fe3edc4999a95f,1,Sleeping Lessons,The Shins,https://p.scdn.co/mp3-preview/1182af43d91536200d9a270f3fd3bd361011eaf9?cid=774b29d4f13844c495f206cafdad9c86,1QZkFFdJ44sfQlzhzqDx9b,"rock, alternative, indie, indie_rock, indie_pop, mellow",,2007,238026,0.517,0.511,4,-8.191,1,0.0339,0.19,0.00827,0.14,0.179,115.022,4
TRGUVUY128F4276D92,a1847b2f41b2df038152f09c02805856a6614fe3,1,Mind Sex,dead prez,https://p.scdn.co/mp3-preview/2e5bf902ac91456fc10548ff37010abe315ac6a9?cid=774b29d4f13844c495f206cafdad9c86,0AmNUVZWESLEtq1TMqgWWc,"hip_hop, downtempo",Rap,2000,291066,0.61,0.577,4,-6.358,0,0.321,0.0221,0.0,0.0837,0.728,175.983,4
TRILQPW128F92E2887,cb4d401f355d7a651b8ebc104a44728191e7a90f,1,Waking the Demon,Bullet for My Valentine,https://p.scdn.co/mp3-preview/777bd858c4a8ef2d4aba47eccf9511a17b58fb76?cid=774b29d4f13844c495f206cafdad9c86,0k6wiMT26Wc3K4B2IiloUw,"metal, hard_rock, heavy_metal, thrash_metal, metalcore",Metal,2008,247693,0.306,0.995,2,-3.203,1,0.1,2.98e-05,0.00859,0.254,0.135,127.908,4
TRDJDUD128F931B10C,1b16e2df3abc35caf40e34260c52905932174f42,1,Gimme Sympathy,Metric,https://p.scdn.co/mp3-preview/bade941c1f7917999c995757b26297dcaf07c97d?cid=774b29d4f13844c495f206cafdad9c86,03la1tJ6B01qp2EhFpeXsj,"alternative, indie, female_vocalists, indie_rock",Rock,2009,234586,0.455,0.885,9,-6.145,1,0.0794,0.00913,0.0019,0.117,0.125,139.025,4
TRCUNLK128F93199D2,aece432ecd238982220aa0161a5b652aa72543cd,1,Superhuman Touch,Athlete,https://p.scdn.co/mp3-preview/193b154b044fc4275fffe8aae454905396586cf5?cid=774b29d4f13844c495f206cafdad9c86,0mrZTLzEClmRBxFWfgRZRi,"indie, british, britpop",Rock,2009,237520,0.526,0.859,1,-4.624,1,0.0371,0.00229,0.0,0.0791,0.202,119.022,4
TRHTRMA128F9305C88,8017a4a477b33fba72128a58ff2450f7d213c90d,1,Rammlied,Rammstein,https://p.scdn.co/mp3-preview/487a6c9f9cd9de7a16f074a4eddbe528ac8af467?cid=774b29d4f13844c495f206cafdad9c86,1jBL8PB3CqDYjR0luCpX00,"metal, heavy_metal, industrial, german",Rock,2009,318666,0.507,0.944,0,-4.35,0,0.0577,0.000486,0.521,0.0733,0.0689,104.967,4
TRMPJCP128E0792212,bb0f5ceb2b418b5c46dd297e71c2f74a309d97c6,1,Evil Deeds,Eminem,https://p.scdn.co/mp3-preview/447229b6a8481be93957f8ef68ee16c429f3c8fb?cid=774b29d4f13844c495f206cafdad9c86,0flo4ALDU40QhT3NMGMjrm,"rap, hip_hop",,2004,259573,0.731,0.686,11,-5.002,0,0.33,0.0915,0.0,0.415,0.29,75.54,4
TRXITNR128F4255DF1,7105bc9494589cfbb10a5f42ce7ebb0ce82ecaba,1,Get Over It,OK Go,https://p.scdn.co/mp3-preview/8de7c2237bf6162aad0a3360c0e1f811714d76a0?cid=774b29d4f13844c495f206cafdad9c86,05Igbm0LMia57ksK6jXiPH,"rock, alternative, indie, pop, alternative_rock, indie_rock, indie_pop, 00s",Rock,2012,198760,0.566,0.778,2,-4.345,1,0.0861,0.00157,0.0,0.0967,0.48,92.644,4
TRZSSHW128F92F0290,f03e4575405dda68ec32b29af919630299a631b9,1,Midnattens Widunder,Finntroll,https://p.scdn.co/mp3-preview/df7185a55f85025a4469fc74a2b5023835fd4282?cid=774b29d4f13844c495f206cafdad9c86,0f0anMNUg8IIxcdIX7ul9Z,black_metal,,2014,264306,0.177,0.968,0,-5.835,1,0.0664,1.53e-05,0.123,0.834,0.317,84.169,4
TRCQPES128F9317C88,c08e7f2938371436915fe951762871740f25ecdf,22,Blindness,Metric,https://p.scdn.co/mp3-preview/d41737ff3d602f6ff5c86ab6ae3ded2ff5cec75b?cid=774b29d4f13844c495f206cafdad9c86,0II00psnrOdK47aehbgIHy,"indie, female_vocalists, indie_rock, beautiful",,2009,266866,0.384,0.638,7,-5.39,1,0.0288,0.198,0.181,0.179,0.106,112.018,4
TRPDACN128F14721FF,b58a2b4a5843430819441e79466e63456bf75d91,1,"So Come Back, I Am Waiting",Okkervil River,https://p.scdn.co/mp3-preview/b8d031716b2f1f1067dfb128477f96f3ebd09394?cid=774b29d4f13844c495f206cafdad9c86,0DiEexAgx4So48wvTglOCb,"indie, acoustic",,2005,483373,0.19,0.278,0,-6.153,1,0.0294,0.773,9.6e-06,0.175,0.113,79.215,3
TRQNZBN12903D0F9FF,5aac20602cbcfe0331e8c222848328165480c4d3,3,I'll Hold My Breath,Ellie Goulding,https://p.scdn.co/mp3-preview/52ae0324f73c1190e3e278dfe45570608791f811?cid=774b29d4f13844c495f206cafdad9c86,297ccHqcwwr63MpVH12lHl,"electronic, pop, female_vocalists, singer_songwriter, dance, british, chillout, indie_pop",Pop,2010,225480,0.635,0.769,3,-5.56,1,0.0297,0.382,0.0,0.115,0.366,123.005,4
TRNQYLV128F4217C93,a4ceb7e2386a47f075694480eed14a822de81986,4,I Love You My Hope,Hird,https://p.scdn.co/mp3-preview/7cdc055ca611318d8c2f5b33d93aaf4c742b2ebd?cid=774b29d4f13844c495f206cafdad9c86,0dTu1WPqpkU9nbqMpErdTu,"ambient, chillout, downtempo, lounge, chill",Electronic,2004,479333,0.624,0.9,0,-7.324,1,0.0426,0.25,0.229,0.363,0.875,121.994,4
TRHBRPS128F931F1CD,f5029846380d566a83bac517dab896d0f07909d2,1,You Already Know What You Are,A Day to Remember,https://p.scdn.co/mp3-preview/6ebcaf364aebd3e6a32e32524e887bc6b325c8be?cid=774b29d4f13844c495f206cafdad9c86,2I5ccAJ8z1aCptSMb6lst6,"hardcore, metalcore, post_hardcore",,2009,87520,0.438,0.895,5,-4.62,0,0.151,0.000596,0.0,0.204,0.46,159.84,4
TRSSDPM128F148D0B6,3200a0e3c3a062ad2eee19b272ce08c4e431edec,2,Sugar Kane,Sonic Youth,https://p.scdn.co/mp3-preview/0d2eca97a61187d7882e43d53ff41a98283f3d97?cid=774b29d4f13844c495f206cafdad9c86,0O3e2QM39kGmgnZg9WFeWf,"rock, alternative, indie, alternative_rock, experimental, indie_rock, 90s, post_punk, grunge",Rock,1992,358026,0.346,0.873,7,-9.509,1,0.046,3.98e-05,0.623,0.12,0.254,135.109,4
TRCPXID128F92D5D3C,82d8beec2d4916357f900343f9a1ce79cc98ad32,4,Halo,Depeche Mode,https://p.scdn.co/mp3-preview/78eac59c0b2a706780e0a7cd70250218d930e18a?cid=774b29d4f13844c495f206cafdad9c86,0Ti7ZxvgWq74Ls56vYP3Ov,"electronic, pop, 80s, british, 90s, new_wave, synthpop",,1990,270160,0.672,0.508,3,-12.62,0,0.031,0.0528,0.0671,0.0801,0.741,112.184,4
TRCPLDY128E0791F79,21181a839ea8d101115c6067b6a071f29f27aa68,1,The Last Song,The All-American Rejects,https://p.scdn.co/mp3-preview/b7ac42620ef1d6e09f7d5537d592f2582a913afd?cid=774b29d4f13844c495f206cafdad9c86,1agT1o2mpJ3GHusAE8q0FX,"rock, alternative, punk, punk_rock, emo, love",Rock,2002,300386,0.319,0.864,1,-3.269,1,0.0785,0.0433,0.0563,0.224,0.299,179.933,4
TRVIDWG128F4294097,c830d5e38be915f33ad11f7db20ef8a3285b7206,2,Determined,Mudvayne,https://p.scdn.co/mp3-preview/facef146fa2195473e15821af7745b3840c0f851?cid=774b29d4f13844c495f206cafdad9c86,02WjnAH5hwXvoHi9qO5JAl,"metal, heavy_metal, hardcore, metalcore, nu_metal",,2000,158893,0.394,0.982,8,-4.434,1,0.142,2.45e-05,2.28e-05,0.308,0.466,129.6,4
TRKMWHB128E078ED8A,bdc64d0571143bcbe2cd9d8b0981ffbefdbafca4,1,God Is in the Radio,Queens of the Stone Age,https://p.scdn.co/mp3-preview/b6561d996d993d0ef8c6629fccb6e59fab14dafc?cid=774b29d4f13844c495f206cafdad9c86,1dVWz4VM5QkgzHLjFEKM4u,"rock, alternative, metal, alternative_rock, hard_rock, american, psychedelic_rock, 00s",Rock,2002,364924,0.521,0.686,1,-5.532,0,0.046,0.121,0.474,0.577,0.381,116.119,4
TRULOVL128F92DCF53,e0730b1a9efd26f6bab2dacffe527c2513239285,1,If There's a Rocket Tie Me To It,Snow Patrol,https://p.scdn.co/mp3-preview/33ca6a7283bfdec1cd0f8fd2624e0ff7206e52c1?cid=774b29d4f13844c495f206cafdad9c86,172bN0rExrcjJ6eNZQY1PR,"rock, alternative, indie, alternative_rock, indie_rock, british, pop_rock",Rock,2009,259653,0.452,0.695,0,-6.383,1,0.0313,0.0004,0.000444,0.229,0.0801,139.927,4
TRYFHLB128F933B0CD,b51a21b0ce41ba30305f86d7a72e9b5d3e48fb79,1,Dear Someone,Gillian Welch,https://p.scdn.co/mp3-preview/45e77d3b74bfd8028209b334b006c6f62da6d437?cid=774b29d4f13844c495f206cafdad9c86,4GyAXht3pjy6fxBc4GicFX,"female_vocalists, folk, singer_songwriter, country",,2001,194466,0.589,0.0189,3,-16.451,1,0.0395,0.932,2.2e-06,0.118,0.0976,74.275,3
TRXWGES128F424EBC7,85b3d6b4c1654ed8369e3dd4a4840f70ff8a71cd,1,Once Again,Girl Talk,https://p.scdn.co/mp3-preview/f1e0e9d406eb79991a31d521d7582de105cb278d?cid=774b29d4f13844c495f206cafdad9c86,70PTpJAzYS18OxdNVoO5hs,"electronic, dance, hip_hop",Rock,2006,160106,0.736,0.609,1,-8.529,1,0.061,0.0138,4.24e-05,0.157,0.467,89.977,4
TRVKWHZ128EF3570CF,23cc91d61e1ca80fd310a68e87d8f7045b4b5f0b,1,Her Man,Gary Allan,https://p.scdn.co/mp3-preview/8c9e4f89e4bcacef36ce1bd41265e8665547927a?cid=774b29d4f13844c495f206cafdad9c86,1t1nSL1iGFPvWXpoGCGB9X,country,Country,1998,165026,0.634,0.387,6,-12.551,1,0.0308,0.416,0.0,0.111,0.396,128.523,4
TRTQDFN128C7196ADE,72c853a56788638cdb48b8beff5d87478f700e20,1,Money Greedy,Tricky,https://p.scdn.co/mp3-preview/2d5159a7fa2fa3d244fed38eca9b1c15da576e28?cid=774b29d4f13844c495f206cafdad9c86,1jBxb690bBlEmSn1kCGBut,trip_hop,Electronic,1998,330093,0.382,0.799,7,-11.164,1,0.0628,0.00666,0.604,0.0985,0.319,131.037,4
TRYMMBJ128F933A309,e02de21795fc9e8313d163a51bcb30e042f388b9,2,Time Is the Enemy,Quantic,https://p.scdn.co/mp3-preview/c6ac5228112365ba7badb0bf4b1a406c0a2212db?cid=774b29d4f13844c495f206cafdad9c86,0Qa7gFj2Bclydv5NUvbftD,"electronic, ambient, chillout, trip_hop, downtempo, lounge, chill",Electronic,2001,219880,0.185,0.856,1,-9.792,1,0.0383,0.00712,0.926,0.298,0.232,165.973,4
TRWCEKE128F93191BE,fc7769d101795706eab75050a5a96da33d45d821,2,Who Knows Who Cares,Local Natives,https://p.scdn.co/mp3-preview/3088ada3895e2aa15e6bc03a12425aef3bd47363?cid=774b29d4f13844c495f206cafdad9c86,0WodLBGCcLscXx01xk2Rsx,"indie, folk, indie_rock, american, beautiful, mellow",Rock,2009,233013,0.421,0.586,10,-5.751,1,0.0332,0.433,5.5e-05,0.08,0.243,77.968,4
TRRTEYU128C7196AE8,adc11b4dbece13f61c8b0c76e0e97932424008ec,2,Tear Out My Eyes,As I Lay Dying,https://p.scdn.co/mp3-preview/67c02e6641364653b9dffdde0d2b4d5bed46155d?cid=774b29d4f13844c495f206cafdad9c86,4ddXa5wnLPPZq4dvXWeSyl,"thrash_metal, metalcore, melodic_death_metal",Electronic,2012,277013,0.41,0.995,1,-1.97,0,0.116,1.36e-05,0.000123,0.329,0.293,92.062,4
TRLSCIQ12903CFDBEE,c4d50700f82ca7f91df35bf40e6263efc8932f39,1,Feel That Fire,Dierks Bentley,https://p.scdn.co/mp3-preview/d845f56c5e0b0d01c515ce3304cefbd8ab5ea403?cid=774b29d4f13844c495f206cafdad9c86,0U7Q336Pth6J3mPy736fQq,country,Country,2009,201506,0.412,0.833,1,-3.865,1,0.0352,0.371,1.28e-05,0.208,0.669,179.846,4
TRNIQYK12903CCD224,5e5a53bf8deca3065398279f72bf40df0ae57698,1,Everlasting Light,The Black Keys,https://p.scdn.co/mp3-preview/216ef04ed35b5d2a0b039d4941b1a2c61b4e9cb9?cid=774b29d4f13844c495f206cafdad9c86,1owojdFFHXWvbAe3QtGwEG,"rock, indie, indie_rock, blues, blues_rock",,2010,204626,0.644,0.595,4,-6.548,1,0.0444,0.133,0.00744,0.346,0.709,181.666,4
TRLNKSV12903CB4508,e18eab1ecb7abb19bc12dc18a3c002fa47abe3bd,1,Girl Is On My Mind,The Black Keys,https://p.scdn.co/mp3-preview/de3b87adc9a41d61f56315b3ddd26a3bb6940943?cid=774b29d4f13844c495f206cafdad9c86,0IDM7ruoglZmlRDffaKRdF,"rock, indie, alternative_rock, indie_rock, blues, 00s, blues_rock",,2012,205840,0.48,0.805,1,-7.526,0,0.0976,0.525,0.00716,0.129,0.418,112.25,4
TRVVWCQ128F9320C38,95ebfa4440105d0ffb64a3e7cda5dc69b4009954,1,Crank That (Soulja Boy),Soulja Boy,https://p.scdn.co/mp3-preview/ee7343634a0201684562dc7ce1148764dbed5f5a?cid=774b29d4f13844c495f206cafdad9c86,04fU6jbHvrYYKWUcSfpnUT,"dance, rap, hip_hop, 00s",,2009,222986,0.739,0.727,0,-2.134,1,0.0795,0.526,0.0,0.0828,0.826,140.123,4
TRLKBKB12903CF799C,d479222f6bab03cea8d4778ed49bd293237812a1,1,Take My Hand,Dido,https://p.scdn.co/mp3-preview/6e4cd2427ad4a4eee6fb554653051cc832fd0acf?cid=774b29d4f13844c495f206cafdad9c86,2hLLUYs5WhO5lKTqwhTHXV,"electronic, pop, female_vocalists, british, chillout",,1999,402706,0.683,0.748,7,-6.831,0,0.0308,0.0407,0.00698,0.154,0.469,126.934,4
